iter	Logloss
0	0.6604370536
1	0.6313526786
2	0.6064719866
3	0.5844073103
4	0.5658367746
5	0.54939375
6	0.5348647321
7	0.5228369978
8	0.51238125
9	0.5021207589
10	0.4940241071
11	0.4865607701
12	0.4796970982
13	0.4737425223
14	0.4679858259
15	0.4634848214
16	0.4592264788
17	0.4550297991
18	0.451920731
19	0.4487083984
20	0.4460293248
21	0.443051981
22	0.4411223214
23	0.4390218471
24	0.4373913225
25	0.4356740792
26	0.4338418527
27	0.4321432199
28	0.430976702
29	0.4295463728
30	0.4280020647
31	0.427098298
32	0.4259628627
33	0.4249689732
34	0.4242467355
35	0.4231940569
36	0.422298577
37	0.4214529855
38	0.4206227958
39	0.4199341797
40	0.4192789342
41	0.4186580636
42	0.4181744699
43	0.4177712054
44	0.4171586775
45	0.4166943638
46	0.4161557478
47	0.4157746373
48	0.4152517578
49	0.4148626116
50	0.4144879464
51	0.4139628348
52	0.4135517578
53	0.4131261161
54	0.4126559989
55	0.4123637277
56	0.4121631696
57	0.4117916574
58	0.4114053013
59	0.4110788504
60	0.4106919643
61	0.4104018415
62	0.4102024275
63	0.4099897042
64	0.4093345703
65	0.4090194475
66	0.4087490513
67	0.4085455915
68	0.4083419922
69	0.4081906529
70	0.4079032645
71	0.4076202846
72	0.4074646484
73	0.4072025112
74	0.4069831473
75	0.4067910156
76	0.4066555525
77	0.406402846
78	0.4062529576
79	0.4060254743
80	0.405723019
81	0.4054503348
82	0.4052178571
83	0.4050962054
84	0.4048541295
85	0.4046963449
86	0.4045472377
87	0.4042469587
88	0.403587221
89	0.4034594866
90	0.4033184989
91	0.4031175502
92	0.4022049386
93	0.4020159598
94	0.4018160993
95	0.4016001953
96	0.4014182199
97	0.4013167969
98	0.4012032366
99	0.4010403181
100	0.4008773996
101	0.4007654576
102	0.4006392857
103	0.4004730469
104	0.4003607143
105	0.400284654
106	0.4001857701
107	0.4000285156
108	0.3998344866
109	0.3996912388
110	0.3995645368
111	0.3994845145
112	0.3993321987
113	0.3992049107
114	0.3991427734
115	0.3990055246
116	0.3986666574
117	0.3985086775
118	0.3983885324
119	0.3982495536
120	0.3981302455
121	0.3980067522
122	0.3978154855
123	0.3974996652
124	0.3973669085
125	0.3972338449
126	0.3971493304
127	0.3970729911
128	0.396980385
129	0.3968095424
130	0.3967267299
131	0.3965908761
132	0.3965002232
133	0.3963746373
134	0.3962938337
135	0.3961817801
136	0.396078683
137	0.39595625
138	0.3958489118
139	0.395800865
140	0.3957026786
141	0.3955911551
142	0.3954717913
143	0.3953382533
144	0.3952600725
145	0.3952128348
146	0.3951517857
147	0.3950690569
148	0.3950210937
149	0.3949306362
150	0.394874442
151	0.3948054967
152	0.3947469308
153	0.3945095703
154	0.3944202567
155	0.3939786551
156	0.3932044643
157	0.3930904855
158	0.3930299665
159	0.3928111886
160	0.392686635
161	0.3925639788
162	0.3923963449
163	0.392262221
164	0.3921839565
