iter	Passed	Remaining
0	63	63405
1	122	60958
2	177	59147
3	222	55351
4	274	54650
5	325	54002
6	380	54035
7	433	53745
8	479	52821
9	525	51978
10	571	51403
11	623	51356
12	678	51526
13	730	51479
14	774	50860
15	825	50798
16	891	51552
17	940	51297
18	986	50946
19	1035	50759
20	1092	50948
21	1145	50931
22	1198	50889
23	1255	51054
24	1305	50905
25	1355	50786
26	1396	50336
27	1451	50404
28	1498	50179
29	1554	50265
30	1608	50275
31	1658	50181
32	1708	50054
33	1764	50137
34	1824	50314
35	1876	50252
36	1926	50150
37	1984	50246
38	2039	50258
39	2093	50235
40	2162	50592
41	2211	50444
42	2264	50395
43	2319	50399
44	2376	50442
45	2424	50274
46	2478	50260
47	2536	50315
48	2590	50268
49	2640	50172
50	2694	50131
51	2747	50097
52	2800	50041
53	2862	50142
54	2918	50139
55	2970	50075
56	3016	49898
57	3071	49890
58	3120	49768
59	3169	49662
60	3224	49641
61	3278	49595
62	3328	49503
63	3383	49477
64	3431	49364
65	3487	49359
66	3545	49372
67	3603	49393
68	3661	49402
69	3712	49329
70	3758	49183
71	3813	49152
72	3870	49150
73	3920	49053
74	3969	48962
75	4025	48946
76	4078	48885
77	4134	48872
78	4178	48708
79	4232	48671
80	4280	48567
81	4336	48546
82	4393	48539
83	4442	48443
84	4491	48350
85	4546	48315
86	4596	48233
87	4649	48188
88	4707	48184
89	4753	48058
90	4802	47974
91	4857	47940
92	4909	47876
93	4962	47829
94	5010	47730
95	5060	47648
96	5115	47618
97	5175	47635
98	5228	47582
99	5278	47503
100	5325	47400
101	5368	47267
102	5418	47189
103	5462	47063
104	5513	46995
105	5563	46924
106	5608	46806
107	5673	46856
108	5724	46795
109	5778	46753
110	5830	46693
111	5887	46679
112	5939	46618
113	5990	46554
114	6046	46534
115	6104	46516
116	6152	46434
117	6198	46333
118	6256	46322
119	6306	46247
120	6360	46209
121	6415	46167
122	6455	46030
123	6512	46009
124	6559	45918
125	6614	45883
126	6664	45814
127	6724	45808
128	6769	45706
129	6819	45636
130	6884	45666
131	6944	45664
132	7003	45656
133	7064	45656
134	7112	45570
135	7153	45446
136	7209	45416
137	7271	45421
138	7321	45350
139	7373	45295
140	7428	45257
141	7478	45186
142	7522	45085
143	7566	44978
144	7617	44917
145	7663	44828
146	7711	44747
147	7765	44704
148	7810	44608
149	7871	44607
150	7922	44546
151	7971	44471
152	8022	44414
153	8065	44309
154	8112	44228
155	8166	44182
156	8216	44117
157	8258	44013
158	8308	43948
159	8353	43855
160	8395	43748
161	8443	43679
162	8497	43632
163	8545	43559
164	8599	43519
165	8656	43491
166	8714	43467
167	8762	43397
168	8808	43315
169	8850	43210
170	8897	43133
171	8939	43032
172	8992	42985
173	9039	42912
174	9088	42844
175	9137	42778
176	9189	42727
177	9241	42676
178	9287	42596
179	9330	42503
180	9379	42439
181	9429	42382
